input,target
кайтаруга,қайтаруға
тастап,тастап
кететинин,кететінін
келген,келген
адамды,адамды
отыргызган,отырғызған
беретин,беретін
котин,көтін
дал,дәл
бул,бұл
тунде,түнде
жыртылган,жыртылған
шыгар,шығар
журт,жұрт
тынышта,тынышта
айлык,айлық
алады,алады
акем,әкемнің
шыгуы,шығуы
да,да
киындап,қиындап
анши,әнші
тиести,тиісті
адамда,адам
ишпей,ішпей
жемей,жемей
шынымен,шынымен
ким,кім
биледи,біледі
негизи,негізі
ту,ту
желден,желден
катты,қатты
ия,иә
татар,татар
кызына,қызына
табынатындай,табынатындай
жагдай,жағдай
жыртылады,жыртылады
екен,екен
астынан,астынан
шыгарсаншы,шығарсаңшы
келешекте,келешекте
болдырмауга,болдырмауға
накты,нақты
шаралар,шаралар
кабылдау,қабылдау
кажет,қажет
билемин,білемін
жумыстан,жұмыстан
шыгарып,шығарып
жибереди,жібереді
коркасындар,қорқасыңдар
дым,дым
пайдасы,пайдасы
таркатып,тарқатып
арбир,әрбір
ме,ме
коркады,қорқады
улттык,ұлттық
улан,ұлан
басшылыгы,басшылығы
кылып,қылып
жiберген,жіберген
ресей,ресей
кауiптi,қауіпті
астананын,астананың
туган,туған
куни,күні
койып,қойып
ар,ар
жагында,жағында
кылтиып,қылтиып
турган,тұрған
нур,нұр
атамыздын,атамыздың
алуга,алуға
калай,қалай
дати,дәті
алтын,алтын
киеси,киесі
атсын,атсын
онбайды,оңбайды
байкус,байғұс
тук,түк
кормеген,көрмеген
бейшара,бейшара
улыт,ұлт
кудай,құдай
быледы,біледі
тагы,тағы
кымды,кімді
олтырып,өлтіріп
ертен,ертең
тексермесе,тексермесе
отрикке,өтірігіне
аптен,әбден
етимиз,етіміз
кара,қара
халыкты,халықты
кан,қан
каксату,қақсату
кетип,кетіп
кейнги,кейінгі
табыс,табыс
кози,көзі
тургындарынын,тұрғындарының
барады,барады
несие,несие
мандай,маңдай
терi,тері
гой,ғой
озбекстанда,өзбекстанда
дуниеге,дүниеге
озинин,өзінің
исине,ісіне
заны,заңы
атын,атын
былгауды,былғауды
кашан,қашан
кудайымау,құдайымау
болса,болса
бастык,бастық
ананын,ананың
коп,көп
сен,сен
куат,қуат
найманмен,найманмен
шыкшы,шықшы
колына,қолыңа
киип,киіп
ап,алып
урпактан,ұрпақтан
урпакка,ұрпаққа
калады,қалады
сепсе,сепсе
калмаиды,қалмайды
канша,қанша
кылмыс,қылмыс
ма,ме
алде,әлде
кытай,қытай
тикелей,тікелей
кадагалаганы,қадағалаған
нан,нан
тауып,тауып
отыр,отыр
кеттыгой,кетті
екенсин,екенсің
оны,оны
тигуге,тігуге
болмайды,болмайды
занга,заңға
кайшы,қайшы
жанасы,жаңасы
заман,заман
алла,алла
жар,жар
биреудин,біреудің
ак,ақ
адал,адал
мынаны,мынаны
кормей,көрмей
калмасын,қалмасын
куйеу,күйеу
болип,бөліп
берип,беріп
жатырма,жатыр
не,ма
тапканын,не
аш,тапқанын
болсан,аш
карамайды,болсаң
депутаттарды,депутаттарды
коспайды,қоспайды
кым,кім
соккыга,соққыға
соттар,соттар
куады,қуады
таза,таза
айтсан,айтсаң
айтты,айтты
дейды,дейді
кайта,қайта
мыкты,мықты
еразаматтарынын,еразаматтарының
жанжагына,жанжағына
кой,қой
електейсиндер,еліктейсіңдер
жауап,жауап
орасын,орасың
шенеуниктердин,шенеуніктердің
шыгарган,шығарған
казахтар,қазақтар
казактар,қазақтар
тускен,түскен
шыгарсын,шығарсың
сенде,сенде
ана,ана
озбектин,өзбектің
тойы,тойы
мен,мен
басты,басты
жаналыктарды,жаңалықтарды
токтатпай,тоқтатпай
окып,оқып
отырамыз,отырамыз
ит,ит
кылгандары,қылғандары
жыртып,жыртып
ба,ба
куаныш,қуаныш
султановты,сұлтановты
колына,қолын
кысып,қысып
бирде,ма
бир,бірдебір
адамы,адамы
тарихта,тарихта
билмейтинимиз,білмейтініміз
каншама,қаншама
санасы,санасы
динмен,дінмен
устаимыз,етеміз
саны,саны
сапасы,сапасы
уйлер,үйлер
колык,көлік
коясындар,қоясыңдар
жол,жол
салмай,салмай
болмаса,болмаса
ауыл,ауыл
барине,бәріне
колик,көлік
болуы,болуы
истериниз,істеріңіз
баянды,баянды
баланды,балаңды
обал,обал
бары,бәрі
уакытша,уақытша
салынып,салынып
дереу,дереу
жибек,жібек
жолынан,жолынан
жумысты,жұмысты
дайын,дайын
жигитке,жігітке
турмыска,тұрмысқа
шыгып,шығып
одан,одан
еркексыз,еркексіз
артынан,артынан
кесед,кеседі
жəне,жəне
емес,емес
кымбат,қымбат
жылына,жылына
биреу,біреу
атып,атып
согысатын,соғысатын
бай,бай
издеп,іздеп
салганы,салғаны
ел,ел
жаны,жаны
отырган,отырған
боп,болып
алмайды,алмайды
макпал,мақпал
кок,көк
жер,жер
бола,бола
басталса,басталса
кусап,ұқсап
отирик,өтірік
болып,болып
жынды,жынды
бесеуинин,бесеуінің
турмеден,түрмеден
жаксы,жақсы
сендер,сендер
жаткан,жатқан
уятак,ұятақ
жанбыр,жанбыр
асып,асып
кеткендерды,кеткендерді
ужаткан,жатырған
расында,расында
кеиде,кейде
устап,ұстап
жетектеп,жетектеп
апарып,апарып
жок,жоқ
барып,барып
жатырган,жатырған
еси,есі
дурыс,дұрыс
жынды,жынды
емес,емес
озинин,өзінің
исине,ісіне
жауап,жауап
беретин,беретін
адамдар,адамдар
барып,барып
жатыр,жатыр
арким,әркім
ушырып,ұшырып
аларсын,аларсың
ашхабат,ашхабат
салыстыруга,салыстыруға
келмейт,келмейді
карыз,қарыз
алып,алып
басы,басы
тарапынан,тараптарыңыздан
улангандар,уланғандар
быр,бір
берсын,берсін
жигитимен,жігітімен
конил,көңіл
кол,қол
сабак,сабақ
гана,ғана
cаттилик,сәттілік
мундайды,мұндайды
каитеди,қайтеді
кигендер,кигендер
баргандарды,барғандарды
ащы,ащы
шындыкты,шындықты
дегендей,дегендей
арты,арты
халыкка,халыққа
уиренип,үйреніп
алды,алды
колайсыз,қолайсыз
казак,қазақ
ерси,ерсі
мынанын,мынаның
жазып,жазып
отыргандар,отырғандар
апаига,апайға
керемет,керемет
тиккенин,тіккенін
тиге,тіге
жансугировка,жансүгіровке
кимге,кімге
бала,бала
азабы,азабы
куралаи,куралаи
жолда,жолда
болу,болу
сайкес,сәйкес
келмей,келмей
тыныш,тыныш
таптырмас,таптырмас
кайда,қайда
жатканда,жатқанда
демей,демей
орындалганын,орындалғанын
согыс,соғыс
алаукатты,әлауқаты
ости,өсті
омирге,өмірге
куштарлык,құштарлық
пайда,пайда
еси,есі
сактасын,сақтасын
осы,осы
киси,кісі
сорлы,сорлы
сабыр,сабыр
отбасына,отбасына
еркек,еркек
экспога,экспоға
апару,апару
жаман,жаман
осындай,осындай
батыр,батыр
жигиттеримиз,жігіттеріміз
ауру,ауру
болуга,болуға
татымас,татымас
тусинбеймин,түсінбеймін
сын,сын
аиткан,айтқан
адаммен,адаммен
салгыласып,салғыласып
отырмаи,отырмай
халык,халық
алдында,алдында
айтады,айтады
жаспен,жаспен
берилген,берілген
акша,ақша
ислам,ислам
тарихын,тарихын
кориниздер,көріңіздер
мын,мың
тенгени,теңгені
колынан,қолынан
келсе,келсе
создерди,сөздерді
коятын,қоятын
буырсын,бұйырсын
жигитимен,жігітімен
табылатындар,табылатындар
адамдарды,адамдарды
аитам,айтам
сияктылардан,сияқтылардан
мунайдан,мұнайдан
неси,несі
онбаган,оңбаған
билгениниз,білгеніңіз
абзал,абзал
жолы,жолы
тенгемен,теңгемен
бирдей,бірдей
бастысы,бастысы
аллахтан,алладан
коркса,қорықса
жанат,жанат
куды,қуды
жазылу,жазылу
нашар,нашар
бизден,бізден
салсын,салсын
баримизге,бәрімізге
жоктар,жоқтар
булар,бұлар
айтпасан,айтпасаң
курыстырып,құрыстырып
булардын,бұлардың
типти,тіпті
таластырып,таластырып
нен,нең
байланыс,байланыс
деме,деме
кезде,кезде
каптап,қаптап
рахатын,рахатын
корип,көріп
некеге,некеге
отыру,отыру
ойлаймын,ойлаймын
рахмет,рақмет
биреуде,біреуде
кеширмейди,кешірмейді
сактай,сақтай
абден,әбден
отбасымыз,отбасымыз
аллага,аллаға
берилсин,берілсін
жыгатытын,жығатытын
сасыктар,сасықтар
ексен,ексең
жасап,жасап
азилге,әзілге
тапсын,тапсын
əбден,әбден
жур,жүр
дейды,дейді
казыр,қазір
бырге,бірге
алса,алса
жесырлерды,жесірлерді
куштеп,күштеп
карындас,қарындас
айтып,айтып
бауы,бауы
берик,берік
балалы,балалы
жане,және
жапкыш,жапқыш
амал,амал
кешырып,кешіріп
турып,тұрып
жатырмын,жатырмын
тойлайтынбыз,тойлайтынбыз
озбектердики,өзбектердікі
озы,өзі
жылы,жылы
актауда,ақтауда
астана,астана
оз,өз
кыздарын,қыздарың
кошеде,көшеде
котин,көтін
ашып,ашып
жургеннен,жүргеннен
жауып,жауып
жамылып,жамылып
журген,жүрген
жаксы,жақсы
сендер,сендер
сиякты,сияқты
сасыктар,сасықтар
тусинбиди,түсінбейді
бирак,бірақ
сандугаш,сандуғаш
апке,әпке
журмин,жүрмін
той,той
данияр,данияр
бизде,бізде
оте,өтe
кушти,күшті
бага,баға
катты,қатты
унады,ұнады
шыкты,шықты
маган,маған
ари,әрі
уакытылы,уақытылы
жеткизди,жеткізді
отиниш,өтініш
бурынгы,бұрынғы
касыби,кәсіби
билим,білім
жумыс,жұмыс
жасайды,жасайды
унемы,үнемі
ауыстырып,ауыстырып
турамын,тұрамын
асер,әсер
итальяндык,итальяндық
бул,бұл
барлык,барлық
унайды,ұнайды
озиме,өзіме
унайтыны,ұнайтыны
ишкен,ішкен
кимге,кімге
калауым,қалауым
болган,болған
устинде,үстінде
журмиз,жүрміз
тасып,тасып
журуге,жүруге
ынгайлы,ыңғайлы
ризамын,ризамын
иштеры,іштері
катындар,қатындар
екен,екен
жумыска,жұмысқа
соз,сөз
багдарлама,бағдарлама
асиресе,əсіресе
куран,құран
арыктагым,арықтағым
келеды,келеді
укыпты,ұқыпты
оралган,оралған
иысы,иісі
барин,бәрін
менин,менің
кызым,қызым
окырдын,оқырдың
алдында,алдында
азан,азан
тындау,тыңдау
мумкиндигинен,мүмкіндігінен
аламыз,аламыз
аллага,аллаға
мын,мың
шукир,шүкір
сумдык,сұмдық
мынаунын,мынауың
тегин,тегін
емес,емес
типти,тіпті
тукте,түкте
ыстей,істей
алмайсын,алмайсың
маскарамасқара,
керысынше,керісінше
сапалы,сапалы
коринип,көрініп
кенес,кеңес
беремын,беремін
тазалайды,тазалайды
килемды,кілемді
ойдагыдай,ойдағыдай
окуга,оқуға
болмайды,болмайды
кызык,қызық
деген,деген
сон,соң
есыкке,есікке
ушин,үшін
мысыгы,мысығы
терезесын,терезесін
шагып,шағып
кир,кір
сосын,сосын
коретин,көретін
жерин,жерін
сонымен,сонымен
ашасын,ашасың
тұрады , тұрады
берген , берген
болды , болды
кушты , күшті
мен , мен
ойын , ойын
коширилип , көшіріліп
жатыр , жатыр
екенын , екенін
былемын , білемін
дамытты , дамытты
дегендерге , дегендерге
бастама , бастама
болмак , болмақ
сапалы , сапалы
сорады , сорады
жылдам , жылдам
алдым , алдым
елорданын , елорданың
себебы , себебі
ыши , іші
казакша , қазақша
адамды , адамды
намазга , намазға
тартады , тартады
заттарды , заттарды
уйренесын , үйренесін
ен , ең
жаманы , жаманы
сенде , сенде
мыкты , мықты
ауыстырам , ауыстырам
десен , десең
коне , көне
ауысады , ауысады
акша , ақша
алатын , алатын
ауыстырайык , ауыстырайық
айтсан , айтсаң
бетты, бетті
кышытпайды , қышытпайды
женыл , жеңіл
кышкентай , кішкентай
кезымнен , кезімнен
жагынан , жағынан
шыны , шыңы
үндыстанда , үндістанда
орналаскан , орналасқан
китайда , қытайда
досынмен , досыңмен
болудын , бөлудің
кажеты , қажеті
алде , әлде
мемлекет , мемлекет
каражатын , қаражатын
таражга , таражға
салу , салу
торт , төрт
жазсаныз , жазсаңыз
жалыкпайсыз , жалықпайсыз
куш , күш
жанартуды , жаңартуды
сурай , сұрай
салеметсызбе , сәлеметсізбе
сыздын , сіздің
осындай , осындай
когамдык , қоғамдық
куаныштымын , қуаныштымын
саттілік , сәттілік
тылеймін , тілеимін
барлығы , барлығы
жасап , жасап
намаздарымызды , намаздарымызды
бастысы , бастысы
истейды , істейді
сиякты, сияқты  
жылдам, жылдам  
кептыре, кептіре  
деп, деп  
ойлап, ойлап  
едым, едім  
бирақ, бірақ  
багасы, бағасы  
кол, қол  
жетымды, жетімді  
жақсы, жақсы  
екен, екен  
мулдем, мүлдем  
жумыс, жұмыс  
жасамайды, жасамайды  
сапасы, сапасы  
оте, өте  
жаксы, жақсы  
алганыма, алғаныма  
окінбеймын, өкінбеймін  
кайырлы, қайырлы  
кун, күн  
менде, менде  
ой, ой  
бар, бар  
еды, еді  
сыздерге, сіздерге  
казир, қазір  
уакытта, уақытта  
уялы, ұялы  
уйде, үйде  
байланыс, байланыс  
колданушы, қолданушы  
жылдан, жылдан  
жылга, жылға  
кобейе, көбейе  
тусуде, түсуде  
айтайын, айтайын  
деген, деген  
тарифтык, тарифтік  
жоспарга, жоспарға  
байланысты, байланысты  
жакын, жақын  
арада, арада  
оку, оқу  
жылы, жылы  
басталады, басталады  
кашыктан, қашықтан  
оку, оқу  
багдарламасымен, бағдарламасымен  
сол, сол  
себепты, себепті   
жоспар, жоспар  
билим, білім  
ордасы, ордасы  
деген, деген  
бул, бұл  
окушыга, оқушыға  
мугалімге, мұғалімге  
де, де  
тиымді, тиімді  
болса, болса   
болар, болар  
еді, еді  
мен, мен  
ойынды, ойынды  
ойын, ойын  
деп, деп  
ойлаймын, ойлаймын  
кызық, қызық  
болса, болса  
бас, бас  
калайсыз, қалайсыз  
оте, өте  
керемет, керемет  
менин, менің  
бұл, бұл  
жақсы, жақсы  
оны, оны  
жазып, жазып  
алды, алды  
ким, кім  
не, не  
ыстеп, істеп  
не, не  
койып, қойып  
жатыр, жатыр  
барин, бәрін  
билип, біліп  
отырамыз, отырамыз  
оте, өте   
меники, менікі  
косылмады, қосылмады  
келмей, келмей  
жатыр, жатыр  
неге, неге  
жагдайы, жағдайы  
керемет, керемет  
алганыма, алғаныма  
кун, күн  
болды, болды  
өте, өте  
жақсы, жақсы  
муздаткыш, мұздатқыш  
іші, іші  
кен, кең  
екен, екен  
ойлаганымдай, ойлағанымдай  
болды, болды  
өте, өте  
куаныштымын, қуаныштымын  
алуга, алуға  
кенес, кеңес  
беремін, беремін  
жеткызу, жеткізу  
орталыгына, орталығына  
рахмет, рахмет  
айтқан, айтқан  
уакытында, уақытында  
жеткызып, жеткізіп  
берды, берді  
дайындыкка, дайындыққа   
жаксы, жақсы  
косымша, қосымша   
кашан, қашан  
жазыладыы, жазылады  
араб, араб  
тилин, тілін  
косыныздаршы, қосыңыздаршы  
жақсы, жақсы   
шыгармашылык, шығармашылық  
табыстар, табыстар  
оте, өте  
жаксы, жақсы  
маган, маған  
катты, қатты  
унайды, ұнайды  
кыскасы, қысқасы  
жаксы, жақсы  
өте, өте  
іші, іші   
дукен, дүкен  
екен, екен  
бираз, біраз  
зат, зат  
таба, таба  
аласыздар, аласыздар  
женылдык, жеңілдік  
жасап, жасап  
турса, тұрса  
дуркырейтін, дүркірейтін  
жер, жер  
нагыз, нағыз  
орталык, орталық  
ышынен, ішінен  
киым, киім  
дүкены, дүкені  
де, де  
ашылган, ашылған  
екен, екен  
жаксылап, жақсылап  
араласаң, араласаң  
үйге, үйге  
керек, керек  
заттың, заттың  
быразы, біразы  
бар, бар  
осындай, осындай  
берсин, берсін  
ыкшамды, ықшамды  
сатып, сатып  
алсаныз, алсаңыз  
өкінбейсіз, өкінбейсіз  
тамаша, тамаша  
қосымша, қосымша  
жылдам, жылдам  
қозгалады, қозғалады  
онады, ұнады  
осіресін, өсіресің    
өте, өте  
жақсы, жақсы  
кызыма, қызыма  
унады, ұнады  
аса, аса  
улкен, үлкен  
жаксы, жақсы  
жасалган, жасалған  
дуние, дүние  
менин, менің  
конылымнен, көңілімнен  
шыкты, шықты  
өте, өте  
кушти, күшті  
ойнаган, ойнаған  
күшті, күшті  
барі, бәрі  
жақсы, жақсы
кестесы, кестесі  
бойынша, бойынша  
бір, бір  
нарсе, нәрсе  
сурасам, сұрасам  
болмайма, болмай ма  
екен, екен  
мен, мен  
саған, саған  
айтып, айтып  
жатырмын, жатырмын  
калайсыздар, қалайсыздар  
ораза, ораза  
устауга, ұстауға  
болмайды, болмайды   
деп, деп  
ойлап, ойлап  
едым, едім  
бугин, бүгін  
алгыс, алғыс  
айту, айту  
куныне, күніне  
арналган, арналған  
тарбие, тәрбие  
сагат, сағат  
енды, енді  
кашан, қашан  
келесін, келесің  
жылдамдыгы, жылдамдығы  
нашар, нашар  
тунгі, түнгі  
кетты, кетті  
жели, желі  
кымбат, қымбат  
өте, өте  
нашар, нашар  
оте, өте  
нашар, нашар  
тыпты, тіпті  
созбен, сөзбен  
жеткызе, жеткізе  
алмаймын, алмаймын  
мына, мына  
ойын, ойын  
оте, өте  
жолы, жолы  
өте, өте  
тар, тар  
журу, жүру  
мумкин, мүмкін  
емес, емес  
шымкенттегы, ымкенттегі  
актаудагы, ақтаудағы  
сары, сары
жолын, жолын  
етсе, етсе  
керемет, керемет  
болар, болар  
еды, еді  
мен, мен  
ойлаган, ойлаған  
колемынен, көлемінен  
кышы, кіші  
екен, екен  
уакытынан, уақытынан  
бурын, бұрын  
акелып, әкеліп  
устамайды, ұстамайды  
тез, тез  
ысып, ісіп  
кетеды, кетеді  
ошеды, өшеді  
бармен, бармен  
тунде, түнде  
ашылмай, ашылмай  
ашылмайды, ашылмайды  
неге, неге  
адемы, әдемі  
сыйлыкка, сыйлыққа 
уялмай, ұялмай  
беруге, беруге  
болады, болады    
өте, өте  
женіл, жеңіл   
оздеры, өздері  
жерден, жерден  
екыншы, екінші  
жерге, жерге  
котерып, көтеріп  
журе, жүре   
балалар, балалар  
гана, ғана  
емес, емес  
арасында, арасында  
улкендер, үлкендер   
отыра, отыра  
береды, береді  
отырганда, отырғанда  
басында, басында  
аздап, аздап  
кунде, күнде  
иыс, иіс  
кетты, кетті  
оте, өте  
бала, бала  
арбасы, арбасы  
сапалы, сапалы  
екен, екен  
автоколік, автокөлік  
журетын, жүретін  
бобек, бөбек  
салгышы, салғышы  
онай, оңай  
ойлаганнан, ойлағаннан  
тез, тез  
болды, болды  
дукены, дүкені  
умытымызды, үмітімізді  
актады, ақтады  
кенесші, кеңесші  
тусіндіре, түсіндіре  
алды, алды  
тагатын, тағатын  
затты, затты  
кормедік, көрмедік  
багасына, бағасына  
сай, сай  
кыстын, қыстың  
жаздын, жаздың  
кундерынде, күндерінде   
колдануга, қолдануға  
кыста, қыста  
жазда, жазда  
косымша, қосымша  
жауып, жауып  
туратын, тұратын  
жапқыштары, жапқыштары   
оинаңыздар, ойнаңыздар  
сиздердин, сіздердің  
тамактарыныз, тамақтарыңыз
саусакпен, саусақпен  
жургызсемде, жүргізсем де  
пайызбен, пайызбен  
несие, несие  
бершы, берші   
орын, орын  
алады, алады  
ганибет, ғанибет   
адамдардын, адамдардың  
шыгармайтындындары, шығармайтынындары 
жоқ, жоқ  
осындаи, осындай  
кобейе, көбейе  
берсин, берсін  
сиздерге, сіздерге  
алла, Алла  
разы, разы  
болсын, болсын  
неге, неге  
казакша, қазақша  
болганымен, болғанымен  
багдарламанын, бағдарламаның  
корсетылген, көрсетілген  
жаңалыктар, жаңалықтар  
болими, бөлімі  
ойындарынын, ойындарының  
интерфейсы, интерфейсі  
кейбыр, кейбір  
жерлеры, жерлері  
орысша, орысша  
аралас, аралас  
журеді, жүреді  
тандалып, таңдалып  
турса, тұрса  
тылы, тілі  
тылынде, тілінде  
болганымен, болғанымен  
тылыне, тіліне  
байланысты, байланысты  
атауы, атауы   
озгермейды, өзгермейді  
шашты, шашты  
алады, алады  
инимди, інімді  
жанарган, жаңарған  
былген, білген  
тартсан, тартсаң  
пернетакта, пернетақта  
унаганы, ұнағаны  
казаки, қазақы  
создыктер, сөздіктер  
тез, тез  
жазуга, жазуға  
улкен, үлкен  
жасаган, жасаған  
адамдарга, адамдарға  
ризашылыгымды, ризашылығымды   
созбен, сөзбен  
айтканда, айтқанда  
батырмасы, батырмасы  
тусип, түсіп  
калды, қалды  
әлдекашан, әлдеқашан   
зейнетакылык, зейнетақылық  
жинагымды, жинағымды  
коре, көре  
алмадым, алмадым  
бырнеше, бірнеше  
рет, рет  
енгыздым, енгіздім  
тук, түк  
шыкпады, шықпады  
косымшаларынды, қосымшаларыңды  
дурыс, дұрыс  
жумыс, жұмыс  
ыстете, істете  
алмасандар, алмасаңдар   
ауре, әуре  
боласындар, боласыңдар  
елдын, елдің  
басын, басын  
катырып, қатырып   
мобильды, мобильді   
ушактар, ұшақтар  
неге, неге  
ар, әр  
апта, апта  
сайын, сайын  
жанарту, жаңарту  
сурайды, сұрайды  
сурактар, сұрақтар  
саны, саны  
канша, қанша  
енди, енді  
акша, ақша  
жибере, жібере  
алатын, алатын  
етсениз, етсеңіз  
кушти, күшті  
болар, болар  
еди, еді  
жылдам, жылдам   
жасайды, жасайды  
ракмет, рақмет  
саган, саған   
корсетеды, көрсетеді  
намаз, намаз  
уакытын, уақытын  
отынемын, өтінемін  
осы, осы  
интернетсыз, интернетсіз  
колдануга, қолдануға  
болатындай, болатындай  
ыстеныздершы, істеңіздерші  
сонда, сонда  
жулдыз, жұлдыз  
коям, қоям  
согым, соғым  
сыйып, сыйып  
кетты, кетті  
айткан, айтқан  
кундеры, күндері  
жеткызып, жеткізіп  
берды, берді  
тыныш, тыныш  
жумыс, жұмыс  
кетты, кетті  
арналган, арналған	
коптеген, көптеген	
сон, соң	
ыры, ірі	
бирге, бірге	
жана, жаңа	
алгашкы, алғашқы	
тури, түрі	
омир, өмір	
карсы, қарсы	
ышынде, ішінде	
уш, үш	
мемлекеттык, мемлекеттік	
тусти, түсті	
халык,	халық	
Муниципалитеттын, Муниципалитеттің	
гылыми,	ғылыми	
жагынан, жағынан	
туган,	туған	
кызмет,	қызмет	
турде,	түрде	
таризди, тәрізді	
олардын, олардың	
сондыктан, сондықтан	
оган, оған	
шыккан,	шыққан	
узындыгы, ұзындығы	
биринши, бірінші	
кара, қара	
алеуметтик,	әлеуметтік	
аскери,	әскери	
кездеседы, кездеседі	
жергиликти,	жергілікті	
ягни, яғни	
уллтык,	ұлттық	
жагдайда, жағдайда	
манызды, маңызды	
курамына, құрамына	
жасалган, жасалған	
кейбир,	кейбір	
оку, оқу	
кайта, қайта	
енбек, еңбек	
колданылады, қолданылады	
натижесынде, нәтижесінде	
сайкес, сәйкес	
жылдын,	жылдың	
негизинде, негізінде	
кол, қол	
болинеды, бөлінеді	
ак,	ақ	
билим, білім	
камтамасыз,	қамтамасыз	
атындагы, атындағы	
халыкаралык, халықаралық	
мундай,	мұндай	
дуниеге, дүниеге	
жузеге,	жүзеге	
сондай-ак, сондай-ақ	
тан, тән	
жиы, жиі	
сырткы,	сыртқы	
тагы, тағы	
толык, толық	
катысты, қатысты	
оседы, өседі	
бастаган, бастаған	
табиги,	табиғи	
алгаш, алғаш	
ашык, ашық	
молшеры, мөлшері	
отырган, отырған	
онер, өнер	
турлеры, түрлері	
озара, өзара	
жарык, жарық	
караганада, қарағанда	
жуйесы,	жүйесі	
шыгыс, шығыс	
дейинги, дейінгі	
кобинесе, көбінесе	
улы, улы	
солтустик, солтүстік	
битирген, бітірген	
сонгы, соңғы	
экономикалык, экономикалық	
жылдык,	жылдық	
кайтыс,	қайтыс	
жогаргы, жоғарғы	
курделы, күрделі	
секылды, секілді	
терен, терең	
тикелей, тікелей	
накты, нақты	
кыска, қысқа	
узак, ұзақ	
артурли, әртүрлі	
